Date,Open,High,Low,Close,Volume
08/22/2023,"127.00","135.00","125.00","125.25","180,600"
08/21/2023,"126.00","130.00","125.00","125.00","117,600"
08/18/2023,"135.00","135.00","125.00","125.25","326,300"
08/17/2023,"134.00","135.00","131.00","132.50","7,100"
08/16/2023,"135.00","138.00","129.00","129.75","1,955,500"
08/15/2023,"138.00","139.00","134.00","135.00","10,400"
08/14/2023,"138.00","139.75","136.00","137.00","3,700"
08/11/2023,"140.00","141.00","134.00","138.00","23,000"
08/10/2023,"141.00","141.00","138.00","139.75","3,100"
08/09/2023,"141.00","145.00","141.00","144.75","13,800"
08/08/2023,"143.50","145.00","135.00","141.25","27,800"
08/07/2023,"145.00","145.00","143.00","144.75","25,000"
08/04/2023,"145.00","145.00","141.50","143.00","21,300"
08/03/2023,"154.00","154.00","143.25","145.50","4,400"
08/02/2023,"144.00","154.00","141.00","143.25","2,300"
08/01/2023,"142.00","144.00","141.00","141.25","35,700"
07/31/2023,"148.00","148.00","140.00","141.00","19,100"
07/28/2023,"162.00","162.00","149.00","153.50","11,800"
07/27/2023,"162.00","165.00","162.00","164.50","1,400"
07/26/2023,"160.00","164.00","160.00","161.75","1,500"
07/25/2023,"163.50","163.50","160.00","161.75","200"
07/21/2023,"160.00","163.50","160.00","160.75","7,200"
07/20/2023,"164.50","164.50","164.00","164.25","1,400"
07/19/2023,"164.50","164.75","164.00","164.50","3,300"
07/18/2023,"166.50","166.50","165.00","165.00","4,500"
07/17/2023,"165.00","166.50","165.00","165.50","1,700"
07/14/2023,"165.00","165.00","162.00","164.00","7,500"
07/13/2023,"163.00","165.00","163.00","164.25","13,400"
07/12/2023,"160.00","164.75","160.00","161.75","3,300"
07/11/2023,"160.00","160.00","158.00","160.00","5,800"
07/10/2023,"159.50","160.00","157.00","157.75","9,600"
07/07/2023,"160.00","160.00","157.00","158.75","7,400"
07/06/2023,"160.00","160.00","160.00","160.00","7,500"
07/05/2023,"155.00","160.00","155.00","157.25","11,900"
07/04/2023,"160.00","160.00","155.00","156.50","3,400"
07/03/2023,"159.00","160.00","159.00","160.00","5,100"
06/30/2023,"155.00","155.00","155.00","155.00","1,100"
06/29/2023,"157.00","160.00","156.00","158.25","600"
06/27/2023,"160.00","160.00","156.00","156.25","81,000"
06/26/2023,"153.00","160.00","153.00","154.00","503,300"
06/23/2023,"155.00","155.00","152.00","152.00","131,400"
06/22/2023,"155.00","155.00","152.00","152.00","442,800"
06/21/2023,"159.00","159.00","150.00","152.25","3,400"
06/20/2023,"154.00","156.00","150.00","151.50","202,300"
06/19/2023,"155.00","155.00","154.50","155.00","28,200"
06/16/2023,"160.00","160.00","156.00","158.75","3,000"
06/15/2023,"163.00","163.00","154.00","160.50","461,200"
06/14/2023,"165.00","165.00","162.00","163.00","111,800"
06/13/2023,"169.00","169.00","163.00","165.00","155,400"
06/12/2023,"167.00","169.00","165.25","167.00","72,900"
06/09/2023,"164.50","165.50","164.50","165.25","6,200"
06/08/2023,"163.50","174.00","154.25","162.50","600"
06/07/2023,"166.00","173.00","154.00","162.75","7,000"
06/06/2023,"165.00","175.00","165.00","165.00","30,700"
06/05/2023,"165.00","165.00","160.00","163.50","1,500"
06/02/2023,"160.00","165.00","147.25","154.75","100,300"
05/31/2023,"155.00","155.00","150.00","151.75","3,600"
05/30/2023,"154.00","157.00","150.00","154.00","600"
05/29/2023,"145.00","150.00","145.00","150.00","118,300"
05/26/2023,"147.00","147.00","145.50","146.25","21,100"
05/25/2023,"145.50","146.00","145.50","146.00","70,800"
05/24/2023,"145.00","147.00","145.00","146.00","73,100"
05/23/2023,"145.00","147.00","145.00","145.25","39,400"
05/22/2023,"145.50","147.00","145.50","146.00","1,700"
05/19/2023,"148.25","149.50","144.00","147.00","15,100"
05/18/2023,"149.00","149.00","149.00","149.00","200"
05/17/2023,"150.00","150.00","145.00","147.00","73,000"
05/16/2023,"142.00","154.00","142.00","145.00","150,500"
05/15/2023,"141.00","144.00","140.50","142.00","783,200"
05/12/2023,"135.00","142.00","135.00","140.25","9,900"
05/11/2023,"144.00","144.00","135.00","142.00","906,900"
05/10/2023,"145.00","145.00","140.00","143.75","332,300"
05/09/2023,"149.00","149.00","145.00","146.75","12,000"
05/08/2023,"149.00","149.00","149.00","149.00","2,300"
05/05/2023,"149.00","149.50","148.50","149.00","111,700"
05/04/2023,"150.00","150.00","147.00","149.50","4,900"
05/03/2023,"155.00","155.00","145.00","149.50","222,200"
05/02/2023,"160.00","160.00","150.00","156.00","348,700"
04/28/2023,"160.00","160.00","158.00","158.75","5,500"
04/27/2023,"162.00","162.00","159.00","160.00","18,800"
04/26/2023,"163.75","163.75","159.00","160.75","1,300"
04/25/2023,"158.25","165.00","158.25","160.00","11,300"
04/24/2023,"160.00","165.00","158.00","164.75","80,100"
04/20/2023,"160.00","160.00","158.00","158.25","19,500"
04/19/2023,"166.00","166.00","160.00","165.00","8,200"
04/18/2023,"168.00","168.00","165.50","167.50","1,200"
04/17/2023,"168.75","170.00","168.75","168.75","34,700"
04/14/2023,"169.50","170.00","165.00","168.50","17,200"
04/13/2023,"169.50","169.50","168.50","169.00","105,300"
04/12/2023,"169.50","169.50","169.00","169.50","2,300"
04/11/2023,"169.50","170.00","167.00","170.00","85,500"
04/06/2023,"172.00","172.00","167.25","170.75","400"
04/05/2023,"160.00","170.00","160.00","167.25","5,000"
04/04/2023,"170.00","171.00","170.00","170.00","4,800"
04/03/2023,"172.00","174.00","168.00","170.00","567,900"
03/31/2023,"171.25","172.00","170.00","170.00","320,900"
03/30/2023,"173.50","173.50","171.00","171.25","224,200"
03/29/2023,"173.00","175.00","171.00","174.50","6,200"
03/28/2023,"171.00","172.00","170.25","171.00","120,400"
03/27/2023,"175.00","175.00","170.50","170.75","43,700"
03/24/2023,"170.00","172.00","170.00","170.75","237,700"
03/23/2023,"170.00","171.00","167.00","170.00","97,200"
03/22/2023,"168.00","171.00","162.00","169.75","152,900"
03/21/2023,"182.00","182.00","170.00","170.00","35,100"
03/20/2023,"170.00","170.00","170.00","170.00","100"
03/17/2023,"166.25","180.00","164.00","170.50","161,800"
03/16/2023,"170.00","171.00","167.00","168.50","11,200"
03/15/2023,"170.00","175.00","166.00","170.75","10,200"
03/14/2023,"170.00","175.00","165.00","171.50","12,100"
03/13/2023,"170.00","170.00","165.00","167.00","23,700"
03/10/2023,"170.00","170.00","165.00","169.75","23,900"
03/09/2023,"173.00","173.00","170.00","171.00","400"
03/08/2023,"173.00","174.00","170.00","172.75","10,000"
03/07/2023,"178.00","178.00","170.00","174.50","17,900"
03/06/2023,"190.00","190.00","175.25","187.00","500"
03/03/2023,"175.00","185.00","174.50","175.25","19,900"
03/02/2023,"175.00","175.00","173.25","174.75","21,600"
03/01/2023,"175.00","175.00","175.00","175.00","2,600"
02/28/2023,"175.00","175.00","174.00","174.75","11,700"
02/27/2023,"175.00","176.00","175.00","175.00","7,800"
02/24/2023,"179.00","179.00","175.00","175.75","1,200"
02/23/2023,"175.00","175.00","174.00","174.00","6,800"
02/22/2023,"171.00","179.75","168.25","174.00","2,100"
02/21/2023,"177.00","179.00","174.00","176.00","6,100"
02/20/2023,"181.00","181.00","171.00","174.00","2,400"
02/17/2023,"180.50","181.50","180.00","180.25","13,300"
02/16/2023,"178.50","182.00","178.25","181.50","25,700"
02/15/2023,"181.00","181.50","178.25","179.75","39,700"
02/14/2023,"181.00","181.50","180.00","180.25","21,700"
02/13/2023,"180.00","181.75","180.00","181.25","2,200"
02/10/2023,"180.00","181.00","178.00","180.00","20,400"
02/09/2023,"180.00","181.00","180.00","180.00","22,400"
02/08/2023,"177.25","180.50","176.00","179.75","151,000"
02/07/2023,"178.50","178.50","176.50","178.25","19,000"
02/06/2023,"176.00","182.00","176.00","177.25","12,700"
02/03/2023,"178.00","178.00","176.00","178.00","6,000"
02/02/2023,"177.00","177.00","176.00","176.25","2,500"
02/01/2023,"175.25","177.00","175.25","176.50","59,200"
01/31/2023,"174.00","180.00","174.00","176.25","32,700"
01/30/2023,"173.00","175.00","170.50","174.50","7,800"
